"COUNTRY","INDEX_TYPE","COICOP_1999","TYPE_OF_TRANSFORMATION","FREQUENCY","TIME_PERIOD","OBS_VALUE","SCALE"
"Japan","Consumer price index (CPI)","All Items","Index","Monthly","1959-M12","17.5632767253886","Units"
"Japan","Consumer price index (CPI)","All Items","Index","Monthly","1960-M01","17.77921442487047","Units"
"Japan","Consumer price index (CPI)","All Items","Index","Monthly","1960-M02","17.79721168911917","Units"
"Japan","Consumer price index (CPI)","All Items","Index","Monthly","1960-M03","17.74321989637306","Units"
"Japan","Consumer price index (CPI)","All Items","Index","Monthly","1960-M04","17.85119365803109","Units"
"Japan","Consumer price index (CPI)","All Items","Index","Monthly","1960-M05","18.01314938860104","Units"
"Japan","Consumer price index (CPI)","All Items","Index","Monthly","1960-M06","17.94117015544042","Units"
"Japan","Consumer price index (CPI)","All Items","Index","Monthly","1960-M07","17.92317289119171","Units"
"Japan","Consumer price index (CPI)","All Items","Index","Monthly","1960-M08","18.06713135751295","Units"
"Japan","Consumer price index (CPI)","All Items","Index","Monthly","1960-M09","18.21109964766839","Units"
"Japan","Consumer price index (CPI)","All Items","Index","Monthly","1960-M10","18.30107614507772","Units"
"Japan","Consumer price index (CPI)","All Items","Index","Monthly","1960-M11","18.04914391709845","Units"
"Japan","Consumer price index (CPI)","All Items","Index","Monthly","1960-M12","18.19310238341969","Units"
"Japan","Consumer price index (CPI)","All Items","Index","Monthly","1961-M01","18.44503461139896","Units"
"Japan","Consumer price index (CPI)","All Items","Index","Monthly","1961-M02","18.53501110880829","Units"
"Japan","Consumer price index (CPI)","All Items","Index","Monthly","1961-M03","18.49901658031088","Units"
"Japan","Consumer price index (CPI)","All Items","Index","Monthly","1961-M04","18.67896957512953","Units"
"Japan","Consumer price index (CPI)","All Items","Index","Monthly","1961-M05","18.58899307772021","Units"
"Japan","Consumer price index (CPI)","All Items","Index","Monthly","1961-M06","18.58899307772021","Units"
"Japan","Consumer price index (CPI)","All Items","Index","Monthly","1961-M07","18.8949170984456","Units"
"Japan","Consumer price index (CPI)","All Items","Index","Monthly","1961-M08","19.03887556476684","Units"
"Japan","Consumer price index (CPI)","All Items","Index","Monthly","1961-M09","19.14684932642487","Units"
"Japan","Consumer price index (CPI)","All Items","Index","Monthly","1961-M10","19.56073728497409","Units"
