"COUNTRY","INDEX_TYPE","COICOP_1999","TYPE_OF_TRANSFORMATION","FREQUENCY","TIME_PERIOD","OBS_VALUE","SCALE"
"United States","Consumer price index (CPI)","All Items","Index","Monthly","1959-M12","13.4828059828805","Units"
"United States","Consumer price index (CPI)","All Items","Index","Monthly","1960-M01","13.43694609858499","Units"
"United States","Consumer price index (CPI)","All Items","Index","Monthly","1960-M02","13.4828059828805","Units"
"United States","Consumer price index (CPI)","All Items","Index","Monthly","1960-M03","13.4828059828805","Units"
"United States","Consumer price index (CPI)","All Items","Index","Monthly","1960-M04","13.52866586717602","Units"
"United States","Consumer price index (CPI)","All Items","Index","Monthly","1960-M05","13.52866586717602","Units"
"United States","Consumer price index (CPI)","All Items","Index","Monthly","1960-M06","13.57452575147153","Units"
"United States","Consumer price index (CPI)","All Items","Index","Monthly","1960-M07","13.57452575147153","Units"
"United States","Consumer price index (CPI)","All Items","Index","Monthly","1960-M08","13.57452575147153","Units"
"United States","Consumer price index (CPI)","All Items","Index","Monthly","1960-M09","13.57452575147153","Units"
"United States","Consumer price index (CPI)","All Items","Index","Monthly","1960-M10","13.66624552006255","Units"
"United States","Consumer price index (CPI)","All Items","Index","Monthly","1960-M11","13.66624552006255","Units"
"United States","Consumer price index (CPI)","All Items","Index","Monthly","1960-M12","13.66624552006255","Units"
"United States","Consumer price index (CPI)","All Items","Index","Monthly","1961-M01","13.66624552006255","Units"
"United States","Consumer price index (CPI)","All Items","Index","Monthly","1961-M02","13.66624552006255","Units"
"United States","Consumer price index (CPI)","All Items","Index","Monthly","1961-M03","13.66624552006255","Units"
"United States","Consumer price index (CPI)","All Items","Index","Monthly","1961-M04","13.66624552006255","Units"
"United States","Consumer price index (CPI)","All Items","Index","Monthly","1961-M05","13.66624552006255","Units"
"United States","Consumer price index (CPI)","All Items","Index","Monthly","1961-M06","13.66624552006255","Units"
"United States","Consumer price index (CPI)","All Items","Index","Monthly","1961-M07","13.75796528865358","Units"
"United States","Consumer price index (CPI)","All Items","Index","Monthly","1961-M08","13.71210540435806","Units"
"United States","Consumer price index (CPI)","All Items","Index","Monthly","1961-M09","13.75796528865358","Units"
"United States","Consumer price index (CPI)","All Items","Index","Monthly","1961-M10","13.75796528865358","Units"
"United States","Consumer price index (CPI)","All Items","Index","Monthly","1961-M11","13.75796528865358","Units"
"United States","Consumer price index (CPI)","All Items","Index","Monthly","1961-M12","13.75796528865358","Units"
"United States","Consumer price index (CPI)","All Items","Index","Monthly","1962-M01","13.75796528865358","Units"
"United States","Consumer price index (CPI)","All Items","Index","Monthly","1962-M02","13.80382517294909","Units"
"United States","Consumer price index (CPI)","All Items","Index","Monthly","1962-M03","13.80382517294909","Units"
"United States","Consumer price index (CPI)","All Items","Index","Monthly","1962-M04","13.8496850572446","Units"
"United States","Consumer price index (CPI)","All Items","Index","Monthly","1962-M05","13.8496850572446","Units"
"United States","Consumer price index (CPI)","All Items","Index","Monthly","1962-M06","13.8496850572446","Units"
"United States","Consumer price index (CPI)","All Items","Index","Monthly","1962-M07","13.89554494154011","Units"
"United States","Consumer price index (CPI)","All Items","Index","Monthly","1962-M08","13.89554494154011","Units"
"United States","Consumer price index (CPI)","All Items","Index","Monthly","1962-M09","13.94140482583562","Units"
"United States","Consumer price index (CPI)","All Items","Index","Monthly","1962-M10","13.94140482583562","Units"
"United States","Consumer price index (CPI)","All Items","Index","Monthly","1962-M11","13.94140482583562","Units"
"United States","Consumer price index (CPI)","All Items","Index","Monthly","1962-M12","13.94140482583562","Units"
"United States","Consumer price index (CPI)","All Items","Index","Monthly","1963-M01","13.94140482583562","Units"
"United States","Consumer price index (CPI)","All Items","Index","Monthly","1963-M02","13.94140482583562","Units"
"United States","Consumer price index (CPI)","All Items","Index","Monthly","1963-M03","13.98726471013114","Units"
"United States","Consumer price index (CPI)","All Items","Index","Monthly","1963-M04","13.98726471013114","Units"
"United States","Consumer price index (CPI)","All Items","Index","Monthly","1963-M05","13.98726471013114","Units"
"United States","Consumer price index (CPI)","All Items","Index","Monthly","1963-M06","14.03312459442665","Units"
"United States","Consumer price index (CPI)","All Items","Index","Monthly","1963-M07","14.07898447872216","Units"
"United States","Consumer price index (CPI)","All Items","Index","Monthly","1963-M08","14.07898447872216","Units"
"United States","Consumer price index (CPI)","All Items","Index","Monthly","1963-M09","14.07898447872216","Units"
