"COUNTRY","INDICATOR","TYPE_OF_TRANSFORMATION","FREQUENCY","TIME_PERIOD","OBS_VALUE","SCALE"
"Japan","Domestic currency per US Dollar","Period average","Monthly","1959-M12","360.000000359","Units"
"Japan","Domestic currency per US Dollar","Period average","Monthly","1960-M01","360.000000359","Units"
"Japan","Domestic currency per US Dollar","Period average","Monthly","1960-M02","360.000000359","Units"
"Japan","Domestic currency per US Dollar","Period average","Monthly","1960-M03","360.000000359","Units"
"Japan","Domestic currency per US Dollar","Period average","Monthly","1960-M04","360.000000359","Units"
"Japan","Domestic currency per US Dollar","Period average","Monthly","1960-M05","360.000000359","Units"
"Japan","Domestic currency per US Dollar","Period average","Monthly","1960-M06","360.000000359","Units"
"Japan","Domestic currency per US Dollar","Period average","Monthly","1960-M07","360.000000359","Units"
"Japan","Domestic currency per US Dollar","Period average","Monthly","1960-M08","360.000000359","Units"
"Japan","Domestic currency per US Dollar","Period average","Monthly","1960-M09","360.000000359","Units"
"Japan","Domestic currency per US Dollar","Period average","Monthly","1960-M10","360.000000359","Units"
"Japan","Domestic currency per US Dollar","Period average","Monthly","1960-M11","360.000000359","Units"
"Japan","Domestic currency per US Dollar","Period average","Monthly","1960-M12","360.000000359","Units"
"Japan","Domestic currency per US Dollar","Period average","Monthly","1961-M01","360.000000359","Units"
"Japan","Domestic currency per US Dollar","Period average","Monthly","1961-M02","360.000000359","Units"
"Japan","Domestic currency per US Dollar","Period average","Monthly","1961-M03","360.000000359","Units"
"Japan","Domestic currency per US Dollar","Period average","Monthly","1961-M04","360.000000359","Units"
"Japan","Domestic currency per US Dollar","Period average","Monthly","1961-M05","360.000000359","Units"
"Japan","Domestic currency per US Dollar","Period average","Monthly","1961-M06","360.000000359","Units"
"Japan","Domestic currency per US Dollar","Period average","Monthly","1961-M07","360.000000359","Units"
"Japan","Domestic currency per US Dollar","Period average","Monthly","1961-M08","360.000000359","Units"
"Japan","Domestic currency per US Dollar","Period average","Monthly","1961-M09","360.000000359","Units"
"Japan","Domestic currency per US Dollar","Period average","Monthly","1961-M10","360.000000359","Units"
"Japan","Domestic currency per US Dollar","Period average","Monthly","1961-M11","360.000000359","Units"
"Japan","Domestic currency per US Dollar","Period average","Monthly","1961-M12","360.000000359","Units"
"Japan","Domestic currency per US Dollar","Period average","Monthly","1962-M01","360.000000359","Units"
"Japan","Domestic currency per US Dollar","Period average","Monthly","1962-M02","360.000000359","Units"
"Japan","Domestic currency per US Dollar","Period average","Monthly","1962-M03","360.000000359","Units"
"Japan","Domestic currency per US Dollar","Period average","Monthly","1962-M04","360.000000359","Units"
"Japan","Domestic currency per US Dollar","Period average","Monthly","1962-M05","360.000000359","Units"
"Japan","Domestic currency per US Dollar","Period average","Monthly","1962-M06","360.000000359","Units"
"Japan","Domestic currency per US Dollar","Period average","Monthly","1962-M07","360.000000359","Units"
"Japan","Domestic currency per US Dollar","Period average","Monthly","1962-M08","360.000000359","Units"
"Japan","Domestic currency per US Dollar","Period average","Monthly","1962-M09","360.000000359","Units"
"Japan","Domestic currency per US Dollar","Period average","Monthly","1962-M10","360.000000359","Units"
"Japan","Domestic currency per US Dollar","Period average","Monthly","1962-M11","360.000000359","Units"
"Japan","Domestic currency per US Dollar","Period average","Monthly","1962-M12","360.000000359","Units"
"Japan","Domestic currency per US Dollar","Period average","Monthly","1963-M01","360.000000359","Units"
"Japan","Domestic currency per US Dollar","Period average","Monthly","1963-M02","360.000000359","Units"
"Japan","Domestic currency per US Dollar","Period average","Monthly","1963-M03","360.000000359","Units"
"Japan","Domestic currency per US Dollar","Period average","Monthly","1963-M04","360.000000359","Units"
"Japan","Domestic currency per US Dollar","Period average","Monthly","1963-M05","360.000000359","Units"
"Japan","Domestic currency per US Dollar","Period average","Monthly","1963-M06","360.000000359","Units"
"Japan","Domestic currency per US Dollar","Period average","Monthly","1963-M07","360.000000359","Units"
"Japan","Domestic currency per US Dollar","Period average","Monthly","1963-M08","360.000000359","Units"
"Japan","Domestic currency per US Dollar","Period average","Monthly","1963-M09","360.000000359","Units"
"Japan","Domestic currency per US Dollar","Period average","Monthly","1963-M10","360.000000359","Units"
"Japan","Domestic currency per US Dollar","Period average","Monthly","1963-M11","360.000000359","Units"
"Japan","Domestic currency per US Dollar","Period average","Monthly","1963-M12","360.000000359","Units"
"Japan","Domestic currency per US Dollar","Period average","Monthly","1964-M01","360.000000359","Units"
"Japan","Domestic currency per US Dollar","Period average","Monthly","1964-M02","360.000000359","Units"
"Japan","Domestic currency per US Dollar","Period average","Monthly","1964-M03","360.000000359","Units"
"Japan","Domestic currency per US Dollar","Period average","Monthly","1964-M04","360.000000359","Units"
"Japan","Domestic currency per US Dollar","Period average","Monthly","1964-M05","360.000000359","Units"
"Japan","Domestic currency per US Dollar","Period average","Monthly","1964-M06","360.000000359","Units"
