"COUNTRY","INDICATOR","UNIT","FREQUENCY","TIME_PERIOD","OBS_VALUE","SCALE"
"United States","Total reserves (gold at market value)","US dollar","Monthly","1959-M12","21543.4138","Millions"
"United States","Total reserves (gold at market value)","US dollar","Monthly","1960-M01","21539.3167","Millions"
"United States","Total reserves (gold at market value)","US dollar","Monthly","1960-M02","21445.6179","Millions"
"United States","Total reserves (gold at market value)","US dollar","Monthly","1960-M03","21411.2592","Millions"
"United States","Total reserves (gold at market value)","US dollar","Monthly","1960-M04","21344.4744","Millions"
"United States","Total reserves (gold at market value)","US dollar","Monthly","1960-M05","21284.0726","Millions"
"United States","Total reserves (gold at market value)","US dollar","Monthly","1960-M06","21219.6407","Millions"
"United States","Total reserves (gold at market value)","US dollar","Monthly","1960-M07","21070.7199","Millions"
"United States","Total reserves (gold at market value)","US dollar","Monthly","1960-M08","20890.3624","Millions"
"United States","Total reserves (gold at market value)","US dollar","Monthly","1960-M09","20553.05","Millions"
"United States","Total reserves (gold at market value)","US dollar","Monthly","1960-M10","20610.8482","Millions"
"United States","Total reserves (gold at market value)","US dollar","Monthly","1960-M11","19876.136","Millions"
"United States","Total reserves (gold at market value)","US dollar","Monthly","1960-M12","19664.164","Millions"
"United States","Total reserves (gold at market value)","US dollar","Monthly","1961-M01","19236.0448","Millions"
"United States","Total reserves (gold at market value)","US dollar","Monthly","1961-M02","19017.9492","Millions"
"United States","Total reserves (gold at market value)","US dollar","Monthly","1961-M03","19033.1781","Millions"
"United States","Total reserves (gold at market value)","US dollar","Monthly","1961-M04","19204.8512","Millions"
"United States","Total reserves (gold at market value)","US dollar","Monthly","1961-M05","19226.816","Millions"
"United States","Total reserves (gold at market value)","US dollar","Monthly","1961-M06","19348.0352","Millions"
"United States","Total reserves (gold at market value)","US dollar","Monthly","1961-M07","19304.9098","Millions"
"United States","Total reserves (gold at market value)","US dollar","Monthly","1961-M08","19736.7634","Millions"
"United States","Total reserves (gold at market value)","US dollar","Monthly","1961-M09","19615.6163","Millions"
"United States","Total reserves (gold at market value)","US dollar","Monthly","1961-M10","19270.884","Millions"
"United States","Total reserves (gold at market value)","US dollar","Monthly","1961-M11","18905.5596","Millions"
"United States","Total reserves (gold at market value)","US dollar","Monthly","1961-M12","18825.53","Millions"
"United States","Total reserves (gold at market value)","US dollar","Monthly","1962-M01","18726.7144","Millions"
"United States","Total reserves (gold at market value)","US dollar","Monthly","1962-M02","18550.4888","Millions"
"United States","Total reserves (gold at market value)","US dollar","Monthly","1962-M03","18366.5908","Millions"
"United States","Total reserves (gold at market value)","US dollar","Monthly","1962-M04","18225.3879","Millions"
"United States","Total reserves (gold at market value)","US dollar","Monthly","1962-M05","18162.1684","Millions"
"United States","Total reserves (gold at market value)","US dollar","Monthly","1962-M06","18542.242","Millions"
"United States","Total reserves (gold at market value)","US dollar","Monthly","1962-M07","17835.2574","Millions"
"United States","Total reserves (gold at market value)","US dollar","Monthly","1962-M08","17698.3943","Millions"
"United States","Total reserves (gold at market value)","US dollar","Monthly","1962-M09","17665.5888","Millions"
"United States","Total reserves (gold at market value)","US dollar","Monthly","1962-M10","17486.2179","Millions"
"United States","Total reserves (gold at market value)","US dollar","Monthly","1962-M11","17322.7032","Millions"
"United States","Total reserves (gold at market value)","US dollar","Monthly","1962-M12","17252.4639","Millions"
"United States","Total reserves (gold at market value)","US dollar","Monthly","1963-M01","17209.848","Millions"
"United States","Total reserves (gold at market value)","US dollar","Monthly","1963-M02","17146.1321","Millions"
"United States","Total reserves (gold at market value)","US dollar","Monthly","1963-M03","17238.616","Millions"
"United States","Total reserves (gold at market value)","US dollar","Monthly","1963-M04","17176.4252","Millions"
"United States","Total reserves (gold at market value)","US dollar","Monthly","1963-M05","17145.2579","Millions"
"United States","Total reserves (gold at market value)","US dollar","Monthly","1963-M06","17101.0332","Millions"
"United States","Total reserves (gold at market value)","US dollar","Monthly","1963-M07","16859.741","Millions"
"United States","Total reserves (gold at market value)","US dollar","Monthly","1963-M08","16823.1326","Millions"
"United States","Total reserves (gold at market value)","US dollar","Monthly","1963-M09","16869.4183","Millions"
"United States","Total reserves (gold at market value)","US dollar","Monthly","1963-M10","16997.0546","Millions"
"United States","Total reserves (gold at market value)","US dollar","Monthly","1963-M11","16852.7276","Millions"
"United States","Total reserves (gold at market value)","US dollar","Monthly","1963-M12","16878.648","Millions"
"United States","Total reserves (gold at market value)","US dollar","Monthly","1964-M01","16916.42","Millions"
